sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
122	Albany	Albany	Great Danes	albany	Albany	Albany	69	0	Albany, NY				551A8B	EAC117							0	0	0	70	0	0000-00-00 00:00:00	1
123	Alcorn State	Alcorn State	Braves	alcornstate	Alcorn State	Alcorn State	37	42	Lorman, MS				5C246E	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
124	Appalachian State	Appalachian State	Mountaineers	appalachianstate	Appalachian State	Appalachian State	35	0	Boone, NC				000000	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
125	Arkansas-Pine Bluff	Arkansas-Pine Bluff	Golden Lions	arkansaspinebluff	Arkansas-Pine Bluff	Arkansas-Pine Bluff	37	43	Pine Bluff, AR				000000	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
126	Austin Peay	Austin Peay	Governors	austinpeay	Austin Peay	Austin Peay	33	0	Clarksville, TN				CD0000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
127	Bethune-Cookman	Bethune-Cookman	Wildcats	bethunecookman	Bethune-Cookman	Bethune-Cookman	31	0	Daytona Beach, FL				800000	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
128	Brown	Brown	Bears	brown	Brown	Brown	29	0	Providence, RI				321414	C41E3A	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
130	Butler	Butler	Bulldogs	butler	Butler	Butler	66	40	Indianapolis, IN				191970	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
131	Cal Poly	Cal Poly	Mustangs	calpoly	Cal Poly-San Luis Obispo	Cal Poly	24	0	San Luis Obispo, CA				337147	EEDD82							0	0	0	70	0	0000-00-00 00:00:00	1
132	Central Connecticut State	CCSU	Blue Devils	centralconnecticutstate	Central Connecticut State	Central Connecticut State	32	0	New Britain, CT				007FFF	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
133	Charleston Southern	Charleston Southern	Buccaneers	charlestonsouthern	Charleston Southern	Charleston Southern	25	0	Charleston, SC				000080	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
134	Chattanooga	Chattanooga	Mocs	chattanooga	Chattanooga	Chattanooga	35	0	Chattanooga,TN				FCC200	00693E							0	0	0	70	0	0000-00-00 00:00:00	1
135	Coastal Carolina	Coastal Carolina	Chanticleers	coastalcarolina	Coastal Carolina	Coastal Carolina	25	0	Conway, SC				008080	CD7F32							0	0	0	70	0	0000-00-00 00:00:00	1
136	Colgate	Colgate	Raiders	colgate	Colgate	Colgate	44	0	Hamilton, NY				800000	ffffff	000000						0	0	0	70	0	0000-00-00 00:00:00	1
